Instance,Model,Solved
TA,./results/models/TA/Adam-ERL/TA-2-2-595-partial.pth,33
TA,./results/models/TA/Adam-ERL/TA-2-2-715-partial.pth,34
TA,./results/models/TA/Adam-ERL/TA-2-2-5-partial.pth,34
TA,./results/models/TA/Adam-ERL/TA-2-2-370-partial.pth,34
TA,./results/models/TA/Adam-ERL/TA-2-2-540-partial.pth,34
TA,./results/models/TA/Adam-ERL/TA-2-2-480-partial.pth,34
TA,./results/models/TA/Adam-ERL/TA-2-2-105-partial.pth,34
TA,./results/models/TA/Adam-ERL/TA-2-2-490-partial.pth,34
TA,./results/models/TA/Adam-ERL/TA-2-2-400-partial.pth,34
TA,./results/models/TA/Adam-ERL/TA-2-2-405-partial.pth,34
TA,./results/models/TA/Adam-ERL/TA-2-2-605-partial.pth,34
TA,./results/models/TA/Adam-ERL/TA-2-2-780-partial.pth,34
TA,./results/models/TA/Adam-ERL/TA-2-2-260-partial.pth,34
TA,./results/models/TA/Adam-ERL/TA-2-2-1015-partial.pth,34
TA,./results/models/TA/Adam-ERL/TA-2-2-825-partial.pth,34
TA,./results/models/TA/Adam-ERL/TA-2-2-830-partial.pth,34
TA,./results/models/TA/Adam-ERL/TA-2-2-890-partial.pth,34
TA,./results/models/TA/Adam-ERL/TA-2-2-930-partial.pth,34
TA,./results/models/TA/Adam-ERL/TA-2-2-225-partial.pth,34
TA,./results/models/TA/Adam-ERL/TA-2-2-1995-partial.pth,34
TA,./results/models/TA/Adam-ERL/TA-2-2-965-partial.pth,34
TA,./results/models/TA/Adam-ERL/TA-2-2-1085-partial.pth,34
TA,./results/models/TA/Adam-ERL/TA-2-2-1025-partial.pth,34
TA,./results/models/TA/Adam-ERL/TA-2-2-565-partial.pth,34
TA,./results/models/TA/Adam-ERL/TA-2-2-785-partial.pth,34
TA,./results/models/TA/Adam-ERL/TA-2-2-280-partial.pth,34
TA,./results/models/TA/Adam-ERL/TA-2-2-570-partial.pth,34
TA,./results/models/TA/Adam-ERL/TA-2-2-1090-partial.pth,34
TA,./results/models/TA/Adam-ERL/TA-2-2-3060-partial.pth,34
TA,./results/models/TA/Adam-ERL/TA-2-2-660-partial.pth,34
TA,./results/models/TA/Adam-ERL/TA-2-2-305-partial.pth,34
TA,./results/models/TA/Adam-ERL/TA-2-2-750-partial.pth,34
TA,./results/models/TA/Adam-ERL/TA-2-2-720-partial.pth,34
TA,./results/models/TA/Adam-ERL/TA-2-2-190-partial.pth,34
TA,./results/models/TA/Adam-ERL/TA-2-2-850-partial.pth,34
TA,./results/models/TA/Adam-ERL/TA-2-2-885-partial.pth,34
TA,./results/models/TA/Adam-ERL/TA-2-2-945-partial.pth,34
TA,./results/models/TA/Adam-ERL/TA-2-2-530-partial.pth,34
TA,./results/models/TA/Adam-ERL/TA-2-2-3450-partial.pth,35
TA,./results/models/TA/Adam-ERL/TA-2-2-3200-partial.pth,35
TA,./results/models/TA/Adam-ERL/TA-2-2-2985-partial.pth,35
TA,./results/models/TA/Adam-ERL/TA-2-2-695-partial.pth,35
TA,./results/models/TA/Adam-ERL/TA-2-2-1155-partial.pth,35
TA,./results/models/TA/Adam-ERL/TA-2-2-3010-partial.pth,35
TA,./results/models/TA/Adam-ERL/TA-2-2-25-partial.pth,35
TA,./results/models/TA/Adam-ERL/TA-2-2-1140-partial.pth,35
TA,./results/models/TA/Adam-ERL/TA-2-2-1890-partial.pth,35
TA,./results/models/TA/Adam-ERL/TA-2-2-1565-partial.pth,35
TA,./results/models/TA/Adam-ERL/TA-2-2-2670-partial.pth,35
TA,./results/models/TA/Adam-ERL/TA-2-2-2725-partial.pth,35
TA,./results/models/TA/Adam-ERL/TA-2-2-2680-partial.pth,35
TA,./results/models/TA/Adam-ERL/TA-2-2-155-partial.pth,35
TA,./results/models/TA/Adam-ERL/TA-2-2-3220-partial.pth,35
TA,./results/models/TA/Adam-ERL/TA-2-2-3210-partial.pth,35
TA,./results/models/TA/Adam-ERL/TA-2-2-2495-partial.pth,35
TA,./results/models/TA/Adam-ERL/TA-2-2-3035-partial.pth,35
TA,./results/models/TA/Adam-ERL/TA-2-2-2960-partial.pth,35
TA,./results/models/TA/Adam-ERL/TA-2-2-200-partial.pth,35
TA,./results/models/TA/Adam-ERL/TA-2-2-1450-partial.pth,35
TA,./results/models/TA/Adam-ERL/TA-2-2-1910-partial.pth,35
TA,./results/models/TA/Adam-ERL/TA-2-2-2445-partial.pth,35
TA,./results/models/TA/Adam-ERL/TA-2-2-1570-partial.pth,35
TA,./results/models/TA/Adam-ERL/TA-2-2-1160-partial.pth,35
TA,./results/models/TA/Adam-ERL/TA-2-2-1145-partial.pth,35
TA,./results/models/TA/Adam-ERL/TA-2-2-1965-partial.pth,35
TA,./results/models/TA/Adam-ERL/TA-2-2-935-partial.pth,35
TA,./results/models/TA/Adam-ERL/TA-2-2-2460-partial.pth,35
TA,./results/models/TA/Adam-ERL/TA-2-2-455-partial.pth,35
TA,./results/models/TA/Adam-ERL/TA-2-2-240-partial.pth,35
